externalid,segid,PROJ_GRP,year,LIN_FORECAST
3601,1082_000.0,Since 1981,1981,-26
3601,1082_000.0,Since 1981,2027,890
3601,1082_000.0,Since 1981,2032,989
3601,1082_000.0,Since 1981,2036,1069
3601,1082_000.0,Since 1981,2046,1268
3601,1082_000.0,Since 1981,2055,1447
3602,0013_006.5,Since 1981,1981,3875
3602,0013_006.5,Since 1981,2027,10557
3602,0013_006.5,Since 1981,2032,11284
3602,0013_006.5,Since 1981,2036,11865
3602,0013_006.5,Since 1981,2046,13318
3602,0013_006.5,Since 1981,2055,14625
3603,1112_000.0,Since 1981,1981,-515
3603,1112_000.0,Since 1981,2027,1719
3603,1112_000.0,Since 1981,2032,1962
3603,1112_000.0,Since 1981,2036,2156
3603,1112_000.0,Since 1981,2046,2642
3603,1112_000.0,Since 1981,2055,3079
3604,0015_368.1,Since 1981,1981,9852
3604,0015_368.1,Since 1981,2027,32376
3604,0015_368.1,Since 1981,2032,34825
3604,0015_368.1,Since 1981,2036,36783
3604,0015_368.1,Since 1981,2046,41680
3604,0015_368.1,Since 1981,2055,46087
3605,0038_003.2,Since 1981,1981,2016
3605,0038_003.2,Since 1981,2027,3790
3605,0038_003.2,Since 1981,2032,3983
3605,0038_003.2,Since 1981,2036,4137
3605,0038_003.2,Since 1981,2046,4522
3605,0038_003.2,Since 1981,2055,4869
3606,0091_010.1,Since 1981,1981,6511
3606,0091_010.1,Since 1981,2027,22804
3606,0091_010.1,Since 1981,2032,24575
3606,0091_010.1,Since 1981,2036,25992
3606,0091_010.1,Since 1981,2046,29534
3606,0091_010.1,Since 1981,2055,32722
3607,3462_002.8,Since 1981,1981,4635
3607,3462_002.8,Since 1981,2027,1228
3607,3462_002.8,Since 1981,2032,858
3607,3462_002.8,Since 1981,2036,562
3607,3462_002.8,Since 1981,2046,-179
3607,3462_002.8,Since 1981,2055,-846
3608,0039_008.7,Since 1981,1981,6054
3608,0039_008.7,Since 1981,2027,9261
3608,0039_008.7,Since 1981,2032,9609
3608,0039_008.7,Since 1981,2036,9888
3608,0039_008.7,Since 1981,2046,10585
3608,0039_008.7,Since 1981,2055,11212
3609,0084_087.8,Since 1981,1981,1474
3609,0084_087.8,Since 1981,2027,25317
3609,0084_087.8,Since 1981,2032,27908
3609,0084_087.8,Since 1981,2036,29982
3609,0084_087.8,Since 1981,2046,35165
3609,0084_087.8,Since 1981,2055,39830
3612,0080_099.5,Since 1981,1981,13749
3612,0080_099.5,Since 1981,2027,51939
3612,0080_099.5,Since 1981,2032,56091
3612,0080_099.5,Since 1981,2036,59411
3612,0080_099.5,Since 1981,2046,67714
3612,0080_099.5,Since 1981,2055,75186
3612,0080_101.5,Since 1981,1981,13749
3612,0080_101.5,Since 1981,2027,51939
3612,0080_101.5,Since 1981,2032,56091
3612,0080_101.5,Since 1981,2036,59411
3612,0080_101.5,Since 1981,2046,67714
